SampleNumber,ExperimentI ID,SampleID,Cell Line,Treatment,Antibody,Replicate,R1,R2,group_norm,group_avg,params,
765,39,MD0026,HLF,SNDX,Menin,1,/proj/jraablab/users/share/NGS/1000_13/MD0026_S5_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0026_S5_R2_001.fastq.gz,HLF_Menin,HLF_SNDX_Menin,"""--bins""",765_MD0026_HLF_Menin_SNDX_1
767,39,MD0028,HLF,SNDX,H3K4me3,1,/proj/jraablab/users/share/NGS/1000_13/MD0028_S7_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0028_S7_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",767_MD0028_HLF_H3K4me3_SNDX_1
768,39,MD0029,HLF,SNDX,IgG,1,/proj/jraablab/users/share/NGS/1000_13/MD0029_S8_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0029_S8_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",768_MD0029_HLF_IgG_SNDX_1
769,39,MD0030,HLF,DMSO,Menin,2,/proj/jraablab/users/share/NGS/1000_13/MD0030_S9_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0030_S9_R2_001.fastq.gz,HLF_Menin,HLF_DMSO_Menin,"""--bins""",769_MD0030_HLF_Menin_DMSO_2
771,39,MD0032,HLF,DMSO,H3K4me3,2,/proj/jraablab/users/share/NGS/1000_13/MD0032_S11_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0032_S11_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",771_MD0032_HLF_H3K4me3_DMSO_2
772,39,MD0033,HLF,DMSO,IgG,2,/proj/jraablab/users/share/NGS/1000_13/MD0033_S12_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0033_S12_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",772_MD0033_HLF_IgG_DMSO_2
773,39,MD0034,HLF,SNDX,Menin,2,/proj/jraablab/users/share/NGS/1000_13/MD0034_S13_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0034_S13_R2_001.fastq.gz,HLF_Menin,HLF_SNDX_Menin,"""--bins""",773_MD0034_HLF_Menin_SNDX_2
775,39,MD0036,HLF,SNDX,H3K4me3,2,/proj/jraablab/users/share/NGS/1000_13/MD0036_S15_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0036_S15_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",775_MD0036_HLF_H3K4me3_SNDX_2
776,39,MD0037,HLF,SNDX,IgG,2,/proj/jraablab/users/share/NGS/1000_13/MD0037_S16_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/1000_13/MD0037_S16_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",776_MD0037_HLF_IgG_SNDX_2
961,50,JR838,HLF,DMSO,H3K4me3,1,/proj/jraablab/users/share/NGS/0028_Raab/JR838_S13_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR838_S13_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",961_JR838_HLF_H3K4me3_DMSO_1
